Strategy,Model,Train,Test,Accuracy,Precision_macro,Recall_macro,F1_macro,Class0_Precision,Class0_Recall,Class0_F1,Class0_Support,Class1_Precision,Class1_Recall,Class1_F1,Class1_Support,Macro_F1,Weighted_F1,Full_Report_JSON
ORG_ONLY,bert-base-german-cased,GERMEVAL (train),GERMEVAL (test),0.7904649793996469,0.7730818432103228,0.7431007272164629,0.7536228814249728,0.8116883116883117,0.8896797153024911,0.8488964346349746,2248.0,0.734475374732334,0.5965217391304348,0.6583493282149712,1150.0,0.7536228814249728,0.7844087441161388,"{""0"": {""precision"": 0.8116883116883117, ""recall"": 0.8896797153024911, ""f1-score"": 0.8488964346349746, ""support"": 2248.0}, ""1"": {""precision"": 0.734475374732334, ""recall"": 0.5965217391304348, ""f1-score"": 0.6583493282149712, ""support"": 1150.0}, ""accuracy"": 0.7904649793996469, ""macro avg"": {""precision"": 0.7730818432103228, ""recall"": 0.7431007272164629, ""f1-score"": 0.7536228814249728, ""support"": 3398.0}, ""weighted avg"": {""precision"": 0.78555679976972, ""recall"": 0.7904649793996469, ""f1-score"": 0.7844087441161388, ""support"": 3398.0}}"
ORG_ONLY,bert-base-german-cased,HASOC (train),HASOC (test),0.8305882352941176,0.6158088235294117,0.5330882352941176,0.5294117647058824,0.8492647058823529,0.9705882352941176,0.9058823529411765,714.0,0.38235294117647056,0.09558823529411764,0.15294117647058825,136.0,0.5294117647058824,0.7854117647058823,"{""0"": {""precision"": 0.8492647058823529, ""recall"": 0.9705882352941176, ""f1-score"": 0.9058823529411765, ""support"": 714.0}, ""1"": {""precision"": 0.38235294117647056, ""recall"": 0.09558823529411764, ""f1-score"": 0.15294117647058825, ""support"": 136.0}, ""accuracy"": 0.8305882352941176, ""macro avg"": {""precision"": 0.6158088235294117, ""recall"": 0.5330882352941176, ""f1-score"": 0.5294117647058824, ""support"": 850.0}, ""weighted avg"": {""precision"": 0.7745588235294117, ""recall"": 0.8305882352941176, ""f1-score"": 0.7854117647058823, ""support"": 850.0}}"
ORG_ONLY,bert-base-german-cased,GAHD (train),GAHD (test),0.7726583813276751,0.7680730679191607,0.7722152636726096,0.7693517967488042,0.8200557103064067,0.775144813059505,0.7969680563075258,1899.0,0.7160904255319149,0.7692857142857142,0.7417355371900827,1400.0,0.7693517967488042,0.773528975748441,"{""0"": {""precision"": 0.8200557103064067, ""recall"": 0.775144813059505, ""f1-score"": 0.7969680563075258, ""support"": 1899.0}, ""1"": {""precision"": 0.7160904255319149, ""recall"": 0.7692857142857142, ""f1-score"": 0.7417355371900827, ""support"": 1400.0}, ""accuracy"": 0.7726583813276751, ""macro avg"": {""precision"": 0.7680730679191607, ""recall"": 0.7722152636726096, ""f1-score"": 0.7693517967488042, ""support"": 3299.0}, ""weighted avg"": {""precision"": 0.775935856203864, ""recall"": 0.7726583813276751, ""f1-score"": 0.773528975748441, ""support"": 3299.0}}"
ORG_ONLY,xlm-roberta-base,GERMEVAL (train),GERMEVAL (test),0.7828134196586227,0.7742649893965683,0.7201164319975244,0.734461087279159,0.7903846153846154,0.9141459074733096,0.8477722772277227,2248.0,0.7581453634085213,0.5260869565217391,0.6211498973305954,1150.0,0.734461087279159,0.7710754741430563,"{""0"": {""precision"": 0.7903846153846154, ""recall"": 0.9141459074733096, ""f1-score"": 0.8477722772277227, ""support"": 2248.0}, ""1"": {""precision"": 0.7581453634085213, ""recall"": 0.5260869565217391, ""f1-score"": 0.6211498973305954, ""support"": 1150.0}, ""accuracy"": 0.7828134196586227, ""macro avg"": {""precision"": 0.7742649893965683, ""recall"": 0.7201164319975244, ""f1-score"": 0.734461087279159, ""support"": 3398.0}, ""weighted avg"": {""precision"": 0.7794737443509167, ""recall"": 0.7828134196586227, ""f1-score"": 0.7710754741430563, ""support"": 3398.0}}"
ORG_ONLY,xlm-roberta-base,HASOC (train),HASOC (test),0.84,0.42,0.5,0.45652173913043476,0.84,1.0,0.9130434782608695,714.0,0.0,0.0,0.0,136.0,0.45652173913043476,0.7669565217391304,"{""0"": {""precision"": 0.84, ""recall"": 1.0, ""f1-score"": 0.9130434782608695, ""support"": 714.0}, ""1"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 136.0}, ""accuracy"": 0.84, ""macro avg"": {""precision"": 0.42, ""recall"": 0.5, ""f1-score"": 0.45652173913043476, ""support"": 850.0}, ""weighted avg"": {""precision"": 0.7056, ""recall"": 0.84, ""f1-score"": 0.7669565217391304, ""support"": 850.0}}"
ORG_ONLY,xlm-roberta-base,GAHD (train),GAHD (test),0.7411336768717793,0.7393056457657676,0.7447385842172571,0.7390754867399574,0.8086237448316598,0.7209057398630858,0.762249443207127,1899.0,0.6699875466998755,0.7685714285714286,0.7159015302727878,1400.0,0.7390754867399574,0.7425807320497839,"{""0"": {""precision"": 0.8086237448316598, ""recall"": 0.7209057398630858, ""f1-score"": 0.762249443207127, ""support"": 1899.0}, ""1"": {""precision"": 0.6699875466998755, ""recall"": 0.7685714285714286, ""f1-score"": 0.7159015302727878, ""support"": 1400.0}, ""accuracy"": 0.7411336768717793, ""macro avg"": {""precision"": 0.7393056457657676, ""recall"": 0.7447385842172571, ""f1-score"": 0.7390754867399574, ""support"": 3299.0}, ""weighted avg"": {""precision"": 0.7497905598105933, ""recall"": 0.7411336768717793, ""f1-score"": 0.7425807320497839, ""support"": 3299.0}}"
ORG_ONLY,xlm-roberta-large,GERMEVAL (train),GERMEVAL (test),0.8057680988816951,0.7961177811277413,0.7553036515550055,0.7687196729974124,0.8163346613545817,0.9114768683274022,0.8612862547288777,2248.0,0.7759009009009009,0.5991304347826087,0.676153091265947,1150.0,0.7687196729974124,0.7986308286010464,"{""0"": {""precision"": 0.8163346613545817, ""recall"": 0.9114768683274022, ""f1-score"": 0.8612862547288777, ""support"": 2248.0}, ""1"": {""precision"": 0.7759009009009009, ""recall"": 0.5991304347826087, ""f1-score"": 0.676153091265947, ""support"": 1150.0}, ""accuracy"": 0.8057680988816951, ""macro avg"": {""precision"": 0.7961177811277413, ""recall"": 0.7553036515550055, ""f1-score"": 0.7687196729974124, ""support"": 3398.0}, ""weighted avg"": {""precision"": 0.8026504869809111, ""recall"": 0.8057680988816951, ""f1-score"": 0.7986308286010464, ""support"": 3398.0}}"
ORG_ONLY,xlm-roberta-large,HASOC (train),HASOC (test),0.84,0.42,0.5,0.45652173913043476,0.84,1.0,0.9130434782608695,714.0,0.0,0.0,0.0,136.0,0.45652173913043476,0.7669565217391304,"{""0"": {""precision"": 0.84, ""recall"": 1.0, ""f1-score"": 0.9130434782608695, ""support"": 714.0}, ""1"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 136.0}, ""accuracy"": 0.84, ""macro avg"": {""precision"": 0.42, ""recall"": 0.5, ""f1-score"": 0.45652173913043476, ""support"": 850.0}, ""weighted avg"": {""precision"": 0.7056, ""recall"": 0.84, ""f1-score"": 0.7669565217391304, ""support"": 850.0}}"
ORG_ONLY,xlm-roberta-large,GAHD (train),GAHD (test),0.7826614125492574,0.778138415077788,0.7824055894079591,0.7794840576008115,0.829064587973274,0.7840968931016324,0.8059539918809202,1899.0,0.7272122421823021,0.7807142857142857,0.7530141233207027,1400.0,0.7794840576008115,0.7834878457807976,"{""0"": {""precision"": 0.829064587973274, ""recall"": 0.7840968931016324, ""f1-score"": 0.8059539918809202, ""support"": 1899.0}, ""1"": {""precision"": 0.7272122421823021, ""recall"": 0.7807142857142857, ""f1-score"": 0.7530141233207027, ""support"": 1400.0}, ""accuracy"": 0.7826614125492574, ""macro avg"": {""precision"": 0.778138415077788, ""recall"": 0.7824055894079591, ""f1-score"": 0.7794840576008115, ""support"": 3299.0}, ""weighted avg"": {""precision"": 0.7858414039455806, ""recall"": 0.7826614125492574, ""f1-score"": 0.7834878457807976, ""support"": 3299.0}}"
ORG_ONLY,deepset/gelectra-base,GERMEVAL (train),GERMEVAL (test),0.7895821071218364,0.7725412837018175,0.7411592913507659,0.7519853614840638,0.8099474322684997,0.8910142348754448,0.8485490362211396,2248.0,0.7351351351351352,0.591304347826087,0.655421686746988,1150.0,0.7519853614840638,0.7831881027616711,"{""0"": {""precision"": 0.8099474322684997, ""recall"": 0.8910142348754448, ""f1-score"": 0.8485490362211396, ""support"": 2248.0}, ""1"": {""precision"": 0.7351351351351352, ""recall"": 0.591304347826087, ""f1-score"": 0.655421686746988, ""support"": 1150.0}, ""accuracy"": 0.7895821071218364, ""macro avg"": {""precision"": 0.7725412837018175, ""recall"": 0.7411592913507659, ""f1-score"": 0.7519853614840638, ""support"": 3398.0}, ""weighted avg"": {""precision"": 0.7846283793834588, ""recall"": 0.7895821071218364, ""f1-score"": 0.7831881027616711, ""support"": 3398.0}}"
